GeneID;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;threshold_padj;Overexpressed;Underexpressed
AT3G25770;1806,435679;-6,363949531;0,200554053;-31,73184209;5,65E-221;1,35E-216;TRUE;FALSE;TRUE
AT5G42530;1339,07814;-4,320971389;0,157390562;-27,45381519;6,26E-166;7,48E-162;TRUE;FALSE;TRUE
AT3G45140;9760,417431;-4,704198225;0,17405557;-27,02699036;7,12E-161;5,68E-157;TRUE;FALSE;TRUE
AT2G25510;929,4025395;-4,914688064;0,184982101;-26,56845199;1,57E-155;9,40E-152;TRUE;FALSE;TRUE
AT5G47240;861,8709836;-5,302620145;0,206711663;-25,65225436;3,99E-145;1,91E-141;TRUE;FALSE;TRUE
AT1G52400;13930,27242;-3,408490881;0,132927998;-25,64163249;5,24E-145;2,09E-141;TRUE;FALSE;TRUE
AT1G19670;1068,118962;-4,606585674;0,18270518;-25,21321882;2,87E-140;9,80E-137;TRUE;FALSE;TRUE
AT5G42650;2310,239532;-3,476460608;0,14653171;-23,72497129;1,99E-124;5,96E-121;TRUE;FALSE;TRUE
AT4G18440;2027,165041;-4,305911862;0,186716584;-23,06121802;1,14E-117;3,02E-114;TRUE;FALSE;TRUE
AT2G42530;533,1786075;-5,304284817;0,239294673;-22,16633053;7,26E-109;1,74E-105;TRUE;FALSE;TRUE
AT2G33380;725,1710088;-3,674466416;0,167524652;-21,93388473;1,23E-106;2,68E-103;TRUE;FALSE;TRUE
AT5G47220;373,2666409;-4,261774483;0,208150167;-20,47451866;3,63E-93;7,24E-90;TRUE;FALSE;TRUE
AT1G78370;1814,98156;-3,039046081;0,153686975;-19,77425919;4,96E-87;9,13E-84;TRUE;FALSE;TRUE
AT4G32280;516,678852;-4,683775798;0,241090779;-19,4274365;4,52E-84;7,73E-81;TRUE;FALSE;TRUE
AT4G23600;905,9462435;-3,794859391;0,197431494;-19,22114512;2,46E-82;3,93E-79;TRUE;FALSE;TRUE
AT5G02940;2701,242335;-2,774473287;0,14558153;-19,05786591;5,65E-81;8,45E-78;TRUE;FALSE;TRUE
AT2G42540;824,1247483;-4,079651271;0,214618729;-19,0088316;1,44E-80;2,03E-77;TRUE;FALSE;TRUE
AT2G43550;604,5469548;-3,808174213;0,202107208;-18,8423473;3,40E-79;4,51E-76;TRUE;FALSE;TRUE
AT5G15970;2219,654501;-4,033659349;0,214658446;-18,7910582;8,94E-79;1,13E-75;TRUE;FALSE;TRUE
AT2G41090;407,631176;-3,503570936;0,187098057;-18,72585423;3,05E-78;3,64E-75;TRUE;FALSE;TRUE
AT2G05510;3660,370533;2,67865732;0,143266738;18,69699388;5,24E-78;5,97E-75;TRUE;TRUE;FALSE
AT5G52310;918,5422986;-4,051973624;0,216809021;-18,68913762;6,07E-78;6,60E-75;TRUE;FALSE;TRUE
AT3G44260;328,1831129;-3,757311239;0,203835129;-18,43308984;7,13E-76;7,41E-73;TRUE;FALSE;TRUE
AT1G15125;938,9973797;-4,278648024;0,235377452;-18,17781605;7,74E-74;7,71E-71;TRUE;FALSE;TRUE
AT5G02540;460,8450125;-4,448444043;0,246931137;-18,01491744;1,49E-72;1,42E-69;TRUE;FALSE;TRUE
AT5G50950;1583,423599;-3,047262077;0,169292179;-18,00001686;1,95E-72;1,79E-69;TRUE;FALSE;TRUE
AT1G16410;824,493191;-3,573624493;0,200269744;-17,84405584;3,21E-71;2,85E-68;TRUE;FALSE;TRUE
AT3G28220;2473,880365;-3,479540657;0,195957562;-17,75660309;1,53E-70;1,31E-67;TRUE;FALSE;TRUE
AT3G19710;1577,457889;-2,597327335;0,14634472;-17,74800855;1,79E-70;1,47E-67;TRUE;FALSE;TRUE
AT5G42900;257,5969972;-3,738675044;0,21828295;-17,12765493;9,23E-66;7,36E-63;TRUE;FALSE;TRUE
AT2G34810;365,59436;-3,114879545;0,182388063;-17,07830818;2,15E-65;1,66E-62;TRUE;FALSE;TRUE
AT1G14250;368,3673135;-4,243350119;0,249839493;-16,9843049;1,07E-64;7,93E-62;TRUE;FALSE;TRUE
AT2G39330;233,2471212;-4,211381561;0,247973719;-16,98317702;1,09E-64;7,93E-62;TRUE;FALSE;TRUE
AT2G18050;6373,406276;2,47073679;0,147222999;16,7822746;3,29E-63;2,31E-60;TRUE;TRUE;FALSE
AT5G13220;222,9884435;-4,054004266;0,244164147;-16,60360177;6,56E-62;4,49E-59;TRUE;FALSE;TRUE
AT1G52000;2951,28734;-2,38706499;0,144038027;-16,57246377;1,10E-61;7,32E-59;TRUE;FALSE;TRUE
AT1G77760;1555,085326;-2,303974413;0,139064567;-16,5676596;1,19E-61;7,72E-59;TRUE;FALSE;TRUE
AT5G23240;362,3892183;-3,797874061;0,229579284;-16,5427559;1,81E-61;1,14E-58;TRUE;FALSE;TRUE
