GO biological process complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (1387)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
spermidine hydroxycinnamate conjugate biosynthetic process (GO:0080088)	3	3	,15	+	19,78	1,99E-03	4,10E-02
thalianol metabolic process (GO:0080003)	3	3	,15	+	19,78	1,99E-03	4,09E-02
stamen filament development (GO:0080086)	11	6	,56	+	10,79	9,62E-05	3,11E-03
cellular response to sulfur starvation (GO:0010438)	8	4	,40	+	9,89	1,94E-03	4,02E-02
cellular response to iron ion starvation (GO:0010106)	8	4	,40	+	9,89	1,94E-03	4,00E-02
response to herbivore (GO:0080027)	17	8	,86	+	9,31	1,46E-05	5,67E-04
triterpenoid metabolic process (GO:0006722)	21	9	1,06	+	8,48	7,71E-06	3,39E-04
triterpenoid biosynthetic process (GO:0016104)	16	6	,81	+	7,42	4,71E-04	1,20E-02
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	45	16	2,28	+	7,03	1,98E-08	1,74E-06
jasmonic acid biosynthetic process (GO:0009695)	26	9	1,31	+	6,85	3,06E-05	1,07E-03
response to insect (GO:0009625)	33	11	1,67	+	6,59	5,45E-06	2,53E-04
triglyceride biosynthetic process (GO:0019432)	24	8	1,21	+	6,59	1,05E-04	3,33E-03
lipid storage (GO:0019915)	29	9	1,47	+	6,14	6,20E-05	2,11E-03
acylglycerol biosynthetic process (GO:0046463)	27	8	1,37	+	5,86	2,07E-04	5,98E-03
neutral lipid biosynthetic process (GO:0046460)	27	8	1,37	+	5,86	2,07E-04	5,95E-03
leucine metabolic process (GO:0006551)	24	7	1,21	+	5,77	5,60E-04	1,38E-02
S-glycoside biosynthetic process (GO:0016144)	42	12	2,12	+	5,65	7,71E-06	3,36E-04
glucosinolate biosynthetic process (GO:0019761)	42	12	2,12	+	5,65	7,71E-06	3,34E-04
glycosinolate biosynthetic process (GO:0019758)	42	12	2,12	+	5,65	7,71E-06	3,31E-04
oxylipin metabolic process (GO:0031407)	25	7	1,26	+	5,54	6,87E-04	1,64E-02
defense response to insect (GO:0002213)	33	9	1,67	+	5,39	1,43E-04	4,33E-03
triglyceride metabolic process (GO:0006641)	30	8	1,52	+	5,27	3,79E-04	9,78E-03
acylglycerol metabolic process (GO:0006639)	34	9	1,72	+	5,23	1,73E-04	5,16E-03
neutral lipid metabolic process (GO:0006638)	34	9	1,72	+	5,23	1,73E-04	5,14E-03
oxylipin biosynthetic process (GO:0031408)	23	6	1,16	+	5,16	2,25E-03	4,50E-02
wax metabolic process (GO:0010166)	31	8	1,57	+	5,10	4,57E-04	1,17E-02
glycosyl compound biosynthetic process (GO:1901659)	48	12	2,43	+	4,94	2,41E-05	8,65E-04
pollen exine formation (GO:0010584)	32	8	1,62	+	4,94	5,47E-04	1,36E-02
induced systemic resistance (GO:0009682)	32	8	1,62	+	4,94	5,47E-04	1,36E-02
diterpenoid biosynthetic process (GO:0016102)	55	13	2,78	+	4,67	1,86E-05	6,93E-04
fatty acid derivative biosynthetic process (GO:1901570)	34	8	1,72	+	4,65	7,71E-04	1,82E-02
wax biosynthetic process (GO:0010025)	30	7	1,52	+	4,61	1,70E-03	3,62E-02
dehiscence (GO:0009900)	30	7	1,52	+	4,61	1,70E-03	3,61E-02
jasmonic acid metabolic process (GO:0009694)	50	11	2,53	+	4,35	1,40E-04	4,28E-03
regulation of flavonoid biosynthetic process (GO:0009962)	32	7	1,62	+	4,33	2,34E-03	4,66E-02
pollen wall assembly (GO:0010208)	47	10	2,38	+	4,21	3,53E-04	9,31E-03
cellular response to ethylene stimulus (GO:0071369)	96	20	4,85	+	4,12	6,60E-07	3,96E-05
ethylene-activated signaling pathway (GO:0009873)	78	16	3,94	+	4,06	1,00E-05	4,10E-04
diterpenoid metabolic process (GO:0016101)	64	13	3,24	+	4,02	7,29E-05	2,44E-03
fatty acid derivative metabolic process (GO:1901568)	45	9	2,28	+	3,96	1,01E-03	2,32E-02
cellular component assembly involved in morphogenesis (GO:0010927)	50	10	2,53	+	3,96	5,41E-04	1,37E-02
xenobiotic detoxification by transmembrane export across the plasma membrane (GO:1990961)	50	10	2,53	+	3,96	5,41E-04	1,36E-02
xenobiotic export from cell (GO:0046618)	50	10	2,53	+	3,96	5,41E-04	1,35E-02
regulation of defense response to fungus (GO:1900150)	40	8	2,02	+	3,96	1,91E-03	4,00E-02
regulation of response to water deprivation (GO:2000070)	40	8	2,02	+	3,96	1,91E-03	3,99E-02
cellular component morphogenesis (GO:0032989)	51	10	2,58	+	3,88	6,19E-04	1,49E-02
cold acclimation (GO:0009631)	62	12	3,14	+	3,83	2,03E-04	5,89E-03
response to far red light (GO:0010218)	48	9	2,43	+	3,71	1,51E-03	3,25E-02
cellular amine metabolic process (GO:0044106)	107	20	5,41	+	3,70	2,86E-06	1,48E-04
pectin catabolic process (GO:0045490)	98	18	4,96	+	3,63	1,09E-05	4,40E-04
response to wounding (GO:0009611)	815	148	41,21	+	3,59	7,59E-37	1,12E-33
jasmonic acid mediated signaling pathway (GO:0009867)	145	26	7,33	+	3,55	2,01E-07	1,36E-05
response to UV-B (GO:0010224)	73	13	3,69	+	3,52	2,31E-04	6,52E-03
cellular response to jasmonic acid stimulus (GO:0071395)	152	27	7,69	+	3,51	1,40E-07	1,04E-05
cellular biogenic amine metabolic process (GO:0006576)	96	17	4,85	+	3,50	2,87E-05	1,01E-03
terpene metabolic process (GO:0042214)	51	9	2,58	+	3,49	2,18E-03	4,39E-02
xenobiotic transport (GO:0042908)	57	10	2,88	+	3,47	1,31E-03	2,90E-02
cellular response to fatty acid (GO:0071398)	156	27	7,89	+	3,42	2,21E-07	1,48E-05
terpenoid biosynthetic process (GO:0016114)	139	24	7,03	+	3,41	1,06E-06	6,12E-05
response to jasmonic acid (GO:0009753)	606	104	30,64	+	3,39	2,40E-24	1,57E-21
terpenoid metabolic process (GO:0006721)	217	37	10,97	+	3,37	1,95E-09	2,29E-07
response to fatty acid (GO:0070542)	610	104	30,84	+	3,37	3,75E-24	2,01E-21
response to toxic substance (GO:0009636)	182	31	9,20	+	3,37	3,98E-08	3,08E-06
hydrocarbon biosynthetic process (GO:0120251)	66	11	3,34	+	3,30	1,11E-03	2,52E-02
sterol metabolic process (GO:0016125)	73	12	3,69	+	3,25	7,50E-04	1,77E-02
systemic acquired resistance (GO:0009627)	116	19	5,87	+	3,24	2,62E-05	9,33E-04
response to auxin (GO:0009733)	385	63	19,47	+	3,24	2,29E-14	5,19E-12
hydrocarbon metabolic process (GO:0120252)	80	13	4,05	+	3,21	5,06E-04	1,28E-02
polysaccharide catabolic process (GO:0000272)	143	23	7,23	+	3,18	5,07E-06	2,40E-04
detoxification (GO:0098754)	157	25	7,94	+	3,15	2,35E-06	1,28E-04
amine metabolic process (GO:0009308)	159	25	8,04	+	3,11	2,87E-06	1,47E-04
response to red light (GO:0010114)	103	16	5,21	+	3,07	1,90E-04	5,55E-03
phosphorelay signal transduction system (GO:0000160)	104	16	5,26	+	3,04	2,10E-04	6,00E-03
export across plasma membrane (GO:0140115)	85	13	4,30	+	3,02	8,39E-04	1,97E-02
response to ethylene (GO:0009723)	242	37	12,24	+	3,02	2,54E-08	2,16E-06
defense response to oomycetes (GO:0002229)	79	12	3,99	+	3,00	1,38E-03	3,03E-02
isoprenoid metabolic process (GO:0006720)	270	41	13,65	+	3,00	5,41E-09	5,78E-07
cell wall modification (GO:0042545)	173	26	8,75	+	2,97	3,83E-06	1,91E-04
cellular response to hypoxia (GO:0071456)	239	35	12,09	+	2,90	1,53E-07	1,09E-05
S-glycoside metabolic process (GO:0016143)	219	32	11,07	+	2,89	5,35E-07	3,35E-05
glucosinolate metabolic process (GO:0019760)	219	32	11,07	+	2,89	5,35E-07	3,32E-05
glycosinolate metabolic process (GO:0019757)	219	32	11,07	+	2,89	5,35E-07	3,28E-05
androecium development (GO:0048466)	110	16	5,56	+	2,88	3,69E-04	9,65E-03
stamen development (GO:0048443)	110	16	5,56	+	2,88	3,69E-04	9,60E-03
response to molecule of bacterial origin (GO:0002237)	117	17	5,92	+	2,87	2,48E-04	6,92E-03
cellular response to decreased oxygen levels (GO:0036294)	241	35	12,19	+	2,87	1,82E-07	1,26E-05
cellular response to oxygen levels (GO:0071453)	242	35	12,24	+	2,86	1,99E-07	1,36E-05
secondary metabolite biosynthetic process (GO:0044550)	180	26	9,10	+	2,86	7,23E-06	3,22E-04
response to oomycetes (GO:0002239)	105	15	5,31	+	2,83	6,57E-04	1,58E-02
lipid localization (GO:0010876)	168	24	8,49	+	2,83	1,88E-05	6,97E-04
isoprenoid biosynthetic process (GO:0008299)	182	26	9,20	+	2,83	8,62E-06	3,60E-04
response to UV (GO:0009411)	127	17	6,42	+	2,65	5,80E-04	1,42E-02
aromatic amino acid family metabolic process (GO:0009072)	115	15	5,81	+	2,58	1,50E-03	3,25E-02
flavonoid metabolic process (GO:0009812)	132	17	6,67	+	2,55	8,57E-04	2,00E-02
regulation of response to biotic stimulus (GO:0002831)	195	25	9,86	+	2,54	8,24E-05	2,74E-03
toxin metabolic process (GO:0009404)	118	15	5,97	+	2,51	1,89E-03	3,97E-02
indole-containing compound metabolic process (GO:0042430)	182	23	9,20	+	2,50	1,88E-04	5,51E-03
glycosyl compound metabolic process (GO:1901657)	279	35	14,11	+	2,48	3,95E-06	1,94E-04
monocarboxylic acid biosynthetic process (GO:0072330)	252	31	12,74	+	2,43	1,95E-05	7,17E-04
regulation of response to external stimulus (GO:0032101)	210	25	10,62	+	2,35	2,98E-04	8,04E-03
sulfur compound biosynthetic process (GO:0044272)	160	19	8,09	+	2,35	1,20E-03	2,70E-02
response to salicylic acid (GO:0009751)	440	52	22,25	+	2,34	1,13E-07	8,52E-06
response to chitin (GO:0010200)	308	36	15,57	+	2,31	1,81E-05	6,80E-04
response to hormone (GO:0009725)	2508	289	126,82	+	2,28	2,29E-37	6,74E-34
external encapsulating structure organization (GO:0045229)	366	42	18,51	+	2,27	3,75E-06	1,89E-04
response to hypoxia (GO:0001666)	323	37	16,33	+	2,27	1,63E-05	6,21E-04
response to endogenous stimulus (GO:0009719)	2542	291	128,54	+	2,26	3,53E-37	6,93E-34
regulation of developmental growth (GO:0048638)	257	29	13,00	+	2,23	2,21E-04	6,29E-03
carbohydrate catabolic process (GO:0016052)	232	26	11,73	+	2,22	3,65E-04	9,59E-03
response to decreased oxygen levels (GO:0036293)	331	37	16,74	+	2,21	2,35E-05	8,54E-04
alpha-amino acid metabolic process (GO:1901605)	368	41	18,61	+	2,20	1,10E-05	4,42E-04
response to oxygen levels (GO:0070482)	333	37	16,84	+	2,20	3,78E-05	1,30E-03
response to cold (GO:0009409)	473	52	23,92	+	2,17	9,00E-07	5,25E-05
response to lipid (GO:0033993)	1935	212	97,84	+	2,17	2,94E-24	1,73E-21
regulation of growth (GO:0040008)	347	38	17,55	+	2,17	3,23E-05	1,13E-03
regulation of defense response (GO:0031347)	744	81	37,62	+	2,15	1,43E-09	1,71E-07
cellular response to extracellular stimulus (GO:0031668)	240	26	12,14	+	2,14	7,19E-04	1,71E-02
floral whorl development (GO:0048438)	216	23	10,92	+	2,11	1,93E-03	4,02E-02
response to bacterium (GO:0009617)	1242	132	62,80	+	2,10	2,64E-14	5,74E-12
cellular amino acid metabolic process (GO:0006520)	566	60	28,62	+	2,10	4,03E-07	2,60E-05
cellular response to external stimulus (GO:0071496)	246	26	12,44	+	2,09	8,80E-04	2,05E-02
defense response to fungus (GO:0050832)	702	74	35,50	+	2,08	3,18E-08	2,50E-06
secondary metabolic process (GO:0019748)	810	85	40,96	+	2,08	2,50E-09	2,89E-07
regulation of hormone levels (GO:0010817)	305	32	15,42	+	2,07	2,69E-04	7,44E-03
defense response to bacterium (GO:0042742)	1029	107	52,03	+	2,06	3,83E-11	6,27E-09
sulfur compound metabolic process (GO:0006790)	549	57	27,76	+	2,05	1,78E-06	9,90E-05
cell wall organization (GO:0071555)	309	32	15,62	+	2,05	3,11E-04	8,33E-03
response to organic cyclic compound (GO:0014070)	817	84	41,31	+	2,03	7,62E-09	7,73E-07
response to extracellular stimulus (GO:0009991)	324	33	16,38	+	2,01	3,97E-04	1,02E-02
response to organic substance (GO:0010033)	3506	355	177,28	+	2,00	1,18E-35	1,39E-32
response to fungus (GO:0009620)	995	100	50,31	+	1,99	8,71E-10	1,11E-07
floral organ development (GO:0048437)	270	27	13,65	+	1,98	1,52E-03	3,26E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	261	26	13,20	+	1,97	2,00E-03	4,09E-02
response to oxidative stress (GO:0006979)	613	61	31,00	+	1,97	2,54E-06	1,33E-04
regulation of response to stress (GO:0080134)	880	87	44,50	+	1,96	2,46E-08	2,13E-06
response to abscisic acid (GO:0009737)	1073	105	54,26	+	1,94	1,41E-09	1,73E-07
hormone-mediated signaling pathway (GO:0009755)	930	91	47,03	+	1,94	1,60E-08	1,49E-06
carboxylic acid biosynthetic process (GO:0046394)	596	58	30,14	+	1,92	7,62E-06	3,37E-04
response to external biotic stimulus (GO:0043207)	2471	239	124,95	+	1,91	1,18E-20	4,35E-18
response to other organism (GO:0051707)	2471	239	124,95	+	1,91	1,18E-20	4,09E-18
response to biotic stimulus (GO:0009607)	2473	239	125,05	+	1,91	1,21E-20	3,97E-18
response to alcohol (GO:0097305)	1194	115	60,37	+	1,90	4,93E-10	6,60E-08
