GO cellular component complete	Arabidopsis thaliana - REFLIST (27430)	upload_1 (1387)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
pollen coat (GO:0070505)	5	4	,25	+	15,82	5,54E-04	1,06E-02
monolayer-surrounded lipid storage body (GO:0012511)	22	9	1,11	+	8,09	1,04E-05	3,98E-04
lipid droplet (GO:0005811)	59	16	2,98	+	5,36	4,42E-07	1,90E-05
extracellular space (GO:0005615)	136	21	6,88	+	3,05	2,21E-05	7,62E-04
apoplast (GO:0048046)	305	31	15,42	+	2,01	7,00E-04	1,27E-02
external encapsulating structure (GO:0030312)	559	54	28,27	+	1,91	2,16E-05	7,70E-04
extracellular region (GO:0005576)	3142	303	158,88	+	1,91	1,44E-26	7,43E-24
cell wall (GO:0005618)	535	48	27,05	+	1,77	3,79E-04	7,98E-03
plant-type cell wall (GO:0009505)	515	45	26,04	+	1,73	9,01E-04	1,45E-02
Unclassified (UNCLASSIFIED)	791	66	40,00	+	1,65	1,78E-04	4,18E-03
cell periphery (GO:0071944)	3581	227	181,07	+	1,25	5,44E-04	1,08E-02
cellular_component (GO:0005575)	26639	1321	1347,00	-	,98	1,78E-04	4,27E-03
cytoplasm (GO:0005737)	14835	661	750,13	-	,88	3,03E-06	1,25E-04
intracellular anatomical structure (GO:0005622)	21574	960	1090,89	-	,88	1,58E-15	2,33E-13
intracellular membrane-bounded organelle (GO:0043231)	19643	837	993,25	-	,84	2,07E-18	3,57E-16
membrane-bounded organelle (GO:0043227)	19700	839	996,13	-	,84	1,02E-18	2,11E-16
intracellular organelle (GO:0043229)	19866	846	1004,53	-	,84	3,47E-19	8,96E-17
organelle (GO:0043226)	19915	848	1007,00	-	,84	2,26E-19	7,77E-17
nucleus (GO:0005634)	10599	409	535,94	-	,76	4,23E-12	3,36E-10
cytosol (GO:0005829)	2648	101	133,90	-	,75	2,70E-03	3,98E-02
mitochondrion (GO:0005739)	4438	151	224,41	-	,67	4,57E-08	2,25E-06
organelle membrane (GO:0031090)	1552	45	78,48	-	,57	5,24E-05	1,39E-03
organelle subcompartment (GO:0031984)	1114	30	56,33	-	,53	1,77E-04	4,35E-03
