---------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id          Marker lineage          # genomes   # markers   # marker sets    0     1    2    3   4   5+   Completeness   Contamination   Strain heterogeneity  
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
  bin.17    p__Bacteroidetes (UID2605)       350         314           208         1    301   12   0   0   0       99.52            1.88              75.00          
  bin.12      k__Bacteria (UID2565)          2921        152            93         3    146   3    0   0   0       97.85            1.08              100.00         
  bin.41    o__Clostridiales (UID1212)       172         260           146         20   240   0    0   0   0       95.21            0.00               0.00          
  bin.43    o__Bacteroidales (UID2657)       160         492           269         19   465   8    0   0   0       95.17            1.47              62.50          
  bin.19    o__Clostridiales (UID1212)       172         263           149         22   241   0    0   0   0       95.05            0.00               0.00          
  bin.48    o__Bacteroidales (UID2657)       160         492           269         60   429   3    0   0   0       92.23            0.68              33.33          
  bin.18    o__Bacteroidales (UID2621)       198         427           260         63   361   3    0   0   0       92.16            0.71              66.67          
  bin.30    o__Clostridiales (UID1212)       172         261           147         47   199   15   0   0   0       91.87            5.75              86.67          
  bin.49    o__Clostridiales (UID1120)       304         250           143         20   227   3    0   0   0       91.75            1.17               0.00          
  bin.1     o__Clostridiales (UID1212)       172         263           149         28   230   5    0   0   0       91.25            2.24              80.00          
  bin.44    o__Clostridiales (UID1212)       172         261           147         64   188   9    0   0   0       89.93            4.71              88.89          
  bin.13    o__Clostridiales (UID1212)       172         263           149         52   206   5    0   0   0       88.07            3.02              40.00          
  bin.25      k__Bacteria (UID1453)          901         171           117         24   147   0    0   0   0       86.42            0.00               0.00          
  bin.7     p__Bacteroidetes (UID2605)       350         314           208         63   244   7    0   0   0       85.59            3.12              42.86          
  bin.34    o__Bacteroidales (UID2657)       160         492           269         88   399   5    0   0   0       84.74            0.96              80.00          
  bin.32    o__Clostridiales (UID1212)       172         263           149         55   205   3    0   0   0       84.39            1.68               0.00          
  bin.33      k__Bacteria (UID2982)           88         229           147         43   183   2    1   0   0       81.94            2.38              40.00          
  bin.31       k__Bacteria (UID203)          5449        104            58         49    51   4    0   0   0       80.52            6.03              75.00          
  bin.45   f__Lachnospiraceae (UID1286)       57         420           207        139   276   5    0   0   0       73.99            1.27              20.00          
  bin.46    p__Bacteroidetes (UID2605)       350         314           208        113   197   4    0   0   0       67.68            1.44              25.00          
  bin.22       k__Bacteria (UID203)          5449        104            58         55    48   1    0   0   0       67.57            1.72              100.00         
  bin.16       k__Bacteria (UID203)          5449        104            58         68    36   0    0   0   0       58.62            0.00               0.00          
  bin.6     o__Bacteroidales (UID2621)       198         427           260        202   223   2    0   0   0       58.27            0.77              50.00          
  bin.20       k__Bacteria (UID203)          5449        104            58         77    26   1    0   0   0       41.38            1.72               0.00          
  bin.8        k__Bacteria (UID203)          5449        104            58         77    27   0    0   0   0       39.66            0.00               0.00          
  bin.28       k__Bacteria (UID203)          5449        104            58         80    24   0    0   0   0       36.21            0.00               0.00          
  bin.11       k__Bacteria (UID203)          5449        100            55         83    17   0    0   0   0       27.27            0.00               0.00          
  bin.35       k__Bacteria (UID203)          5449        102            56         87    15   0    0   0   0       25.89            0.00               0.00          
  bin.15       k__Bacteria (UID203)          5449        104            58         89    15   0    0   0   0       22.41            0.00               0.00          
  bin.37       k__Bacteria (UID203)          5449        104            58         91    13   0    0   0   0       18.97            0.00               0.00          
  bin.21       k__Bacteria (UID203)          5449        103            57         92    11   0    0   0   0       18.13            0.00               0.00          
  bin.47       k__Bacteria (UID203)          5449        104            58         93    11   0    0   0   0       17.24            0.00               0.00          
  bin.2        k__Bacteria (UID203)          5449        104            58         94    10   0    0   0   0       16.38            0.00               0.00          
  bin.29       k__Bacteria (UID203)          5449        103            57         94    9    0    0   0   0       15.79            0.00               0.00          
  bin.10       k__Bacteria (UID203)          5449        104            58         94    10   0    0   0   0       15.00            0.00               0.00          
  bin.26       k__Bacteria (UID203)          5449        104            58         97    7    0    0   0   0       10.34            0.00               0.00          
  bin.40       k__Bacteria (UID203)          5449        104            58         98    6    0    0   0   0        8.62            0.00               0.00          
  bin.23       k__Bacteria (UID203)          5449        104            58        100    4    0    0   0   0        6.90            0.00               0.00          
  bin.4     p__Bacteroidetes (UID2605)       350         314           208        284    30   0    0   0   0        6.01            0.00               0.00          
  bin.14       k__Bacteria (UID203)          5449        104            58        101    3    0    0   0   0        4.31            0.00               0.00          
  bin.9            root (UID1)               5656         56            24         55    1    0    0   0   0        4.17            0.00               0.00          
  bin.5            root (UID1)               5656         56            24         55    1    0    0   0   0        4.17            0.00               0.00          
  bin.27       k__Bacteria (UID203)          5449        102            56        101    1    0    0   0   0        0.89            0.00               0.00          
  bin.42           root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.39           root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.38           root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.36           root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.3            root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
  bin.24           root (UID1)               5656         56            24         56    0    0    0   0   0        0.00            0.00               0.00          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
[2022-10-02 18:40:19] INFO: { Current stage: 0:00:05.927 || Total: 0:00:05.927 }
